Identifier,Mean_GFP_Intensity,Total_GFP_Intensity
B2_03_013,1581.6180094463152,648632617
B2_03_014,1583.3309180823974,643536935
B2_03_015,1471.3831539463094,597809733
B2_03_016,1464.3551327502962,598095353
B2_03_017,1407.54740455263,577781319
B2_03_018,1394.9032375072727,572996957
B2_03_019,1368.2396999726893,561109628
B2_03_020,1391.5263912091357,568079517
B2_03_021,1339.625410600789,551379102
B2_03_022,1326.942600861865,544100871
B2_03_023,1296.6511724762777,532384225
B2_03_024,1285.4512289742202,526847328
B2_03_025,1226.7967974977248,502823523
B2_03_026,1238.593216289875,508093232
B2_03_027,1215.1215502098175,498054021
B2_03_028,1220.6225519432307,501413435
B2_03_029,1208.231019474988,493591369
B2_03_030,1188.0709388949908,487846877
B2_03_031,1157.067902406723,475284154
B2_03_032,1155.9538397550184,475250770
B2_03_033,1140.1025652253238,468667662
B2_03_034,1128.9062496195493,463638410
B2_03_035,1128.0502847699709,458714880
B2_03_036,1113.8885931558934,457006212
B2_03_037,1094.7200832111312,449406678
B2_03_038,1109.943155883316,454235357
B2_03_039,1101.4775657162786,448485316
B2_03_040,1093.6979793328119,448863494
B2_03_041,1080.7140687702206,441933162
B2_03_042,1056.2292334153171,434170420
B2_03_043,1085.7689646065087,448100109
B2_03_044,1051.7576614276677,432293434
B2_03_045,1043.4236866449194,428617582
B2_03_046,1062.5230039537282,434820539
B2_03_047,1035.9384288280899,424378393
B2_03_048,1052.4326675726836,433665405
B2_03_049,1070.1592588901824,440303115
B2_03_050,1041.2784094085846,428349658
B2_03_051,1060.9111361379544,438039599
B2_03_052,1035.716487769861,427069408
B2_03_053,1044.434062649016,431483911
B2_03_054,1055.5448284719378,435594851
B2_03_055,1023.2425062906714,422510133
B2_03_056,1039.500125032472,428162825
B2_03_057,1030.7500253298917,427276808
B2_03_058,1016.7937067410875,421177306
B2_03_059,1030.8000663394887,425748259
B2_03_060,1035.3178071456905,428054218
B2_03_061,1037.4865131301444,430437592
B3_03_001,2025.5604614672643,739700246
B3_03_002,2039.520085048011,743405071
B3_03_003,2078.363569237917,751538345
B3_03_004,2050.6545918692605,739833113
B3_03_005,2042.7747673005206,741132985
B3_03_006,2031.4946403872752,740260395
B3_03_007,1996.2534482379942,727123341
B3_03_008,1970.193090305357,714376253
B3_03_009,1938.9101617547099,701703221
B3_03_010,1942.2069752407685,703012890
B3_03_011,1902.25549360083,687427579
B3_03_012,1881.303127165125,681552853
B3_03_013,1841.096574653986,666705256
B3_03_014,1824.9619463505926,661143564
B3_03_015,1779.2885585595532,644693182
B3_03_016,1783.108815206659,646516028
B3_03_017,1731.2295265131138,627537810
B3_03_018,1709.2926555073361,620345037
B3_03_019,1681.7639440473038,609794152
B3_03_020,1653.0955522621593,600100135
B3_03_021,1651.6902735880792,599005298
B3_03_022,1643.4396739533568,598207111
B3_03_023,1631.4878369926594,594755628
B3_03_024,1658.9112041256633,602821789
B3_03_025,1617.648387362864,588322542
B3_03_026,1622.2534127609133,591215656
B3_03_027,1631.768964410263,594712885
B3_03_028,1640.782669287803,599272899
B3_03_029,1646.7573440291544,601891456
B3_03_030,1645.0966572154227,601091997
B3_03_031,1626.3369155411233,593988658
B3_03_032,1620.6500441946316,592232525
B3_03_033,1615.6325329566855,590235802
B3_03_034,1604.7165814423186,587160983
B3_03_035,1613.3310489426378,590182311
B3_03_036,1601.3006751778005,586751796
B3_03_037,1584.921904091115,580566403
B3_03_038,1604.2174706065455,587525398
B3_03_039,1587.5988389689783,582240761
B3_03_040,1576.5533734134935,578224598
B3_03_041,1576.3998705010026,577003339
B3_03_042,1558.767146305869,571436242
B3_03_043,1583.6751153713508,578583034
B3_03_044,1539.0355477600342,562443619
B3_03_045,1534.387294561946,562311515
B3_03_046,1567.469712445541,572413292
B3_03_047,1542.651225681678,564736846
B3_03_048,1562.6348932499461,572429102
B3_03_049,1584.7878651206272,579775623
B3_03_050,1558.2609387778546,569704874
B3_03_051,1570.261475416572,573244365
B3_03_052,1544.62098024896,564714975
B3_03_053,1533.2641375313044,560812824
B3_03_054,1552.8499753316523,566541785
B3_03_055,1521.12225378684,554728948
B3_03_056,1534.9857196058995,560555295
B3_03_057,1538.5985734719595,560420683
B3_03_058,1514.8709296121485,553647453
B3_03_059,1537.9443750378373,558885910
B3_03_060,1531.5697486274057,558468530
B3_03_061,1529.3744716867948,558339444
B4_03_001,1817.1537058204583,720154368
B4_03_002,1833.1130446577263,729793466
B4_03_003,1865.3349054706355,741955612
B4_03_004,1838.294101958969,730637344
B4_03_005,1822.8184075938182,717814952
B4_03_006,1784.264218818625,702816323
B4_03_007,1726.042659613206,682573926
B4_03_008,1680.431498513505,664148539
B4_03_009,1654.6397709499897,652753735
B4_03_010,1608.8448982382915,635242755
B4_03_011,1551.7296223615565,615985453
B4_03_012,1465.071907724324,595582497
B4_03_013,1403.5194518298404,574342616
B4_03_014,1405.4120755807971,573613317
B4_03_015,1339.4457888255326,547095293
B4_03_016,1336.261987314597,546496410
B4_03_017,1293.1880300703338,528794931
B4_03_018,1281.2519555382655,523661768
B4_03_019,1250.7655989640598,511925852
B4_03_020,1242.57088160052,508543257
B4_03_021,1222.0760270580802,500969292
B4_03_022,1205.4295319040975,494124852
B4_03_023,1192.3716033949602,489317112
B4_03_024,1193.943992599535,490454283
B4_03_025,1145.6936051827786,471118376
B4_03_026,1154.7208114426242,475183780
B4_03_027,1138.6833025980432,468658135
B4_03_028,1144.7846165043245,471874495
B4_03_029,1147.1644412325331,473037846
B4_03_030,1138.8281642531933,470997691
B4_03_031,1110.1435517648679,459596100
B4_03_032,1099.8615668051634,456102693
B4_03_033,1085.8605224200867,450373682
B4_03_034,1075.1818643631173,446586464
B4_03_035,1076.8773561988141,447727914
B4_03_036,1067.189691237817,443345815
B4_03_037,1037.6900610497091,432075463
B4_03_038,1041.6795683802018,434029334
B4_03_039,1036.433046055566,432211236
B4_03_040,1028.431158326505,429244540
B4_03_041,1023.3707934806279,427659491
B4_03_042,996.0286564453102,416743370
B4_03_043,1028.899597002482,430710747
B4_03_044,985.4555360960526,413008357
B4_03_045,977.7999914244266,410477503
B4_03_046,988.5764800632866,414883800
B4_03_047,968.0048769568551,406498160
B4_03_048,983.0231822245046,413483143
B4_03_049,996.8183864817447,419307667
B4_03_050,969.1878562695125,408226771
B4_03_051,986.3635802923085,415792690
B4_03_052,966.8324685934855,408278849
B4_03_053,965.9181053636768,408649041
B4_03_054,976.7988958897308,413151745
B4_03_055,940.1909184848535,397609560
B4_03_056,953.0979352645685,404322253
B4_03_057,950.3621100287263,402623759
B4_03_058,932.6323961878508,395154481
B4_03_059,949.076131789143,402447192
B4_03_060,950.5748381372426,403896397
B4_03_061,947.712649851709,402306863
B5_03_001,3208.1402035228575,1281850916
B5_03_002,3312.1889806403105,1321646208
B5_03_003,3378.3245783764214,1353137235
B5_03_004,3424.4357472121183,1373578847
