Identifier,Mean_GFP_Intensity,Total_GFP_Intensity,Mean_GFP_Head,Total_GFP_Head,Mean_GFP_Tail,Total_GFP_Tail
B5_03_050,5106.1305356231605,2111287960,8353.123404878928,1481977742,2665.834486264376,629310218
B5_03_051,5339.196784413728,2211004102,8719.5034036279,1543500334,2815.3905799882746,667503768
B5_03_052,5578.38421615721,2309835974,9071.298477094419,1609466061,2959.5804390542794,700369913
B5_03_053,5893.071165700395,2443573745,9592.390835367294,1705661384,3115.683973855547,737912361
B5_03_054,6200.870999973516,2575475962,10062.577503097196,1786912513,3316.6223602693462,788563449
B5_03_055,6508.49703627522,2702243359,10566.02673775738,1878650120,3469.4263309546477,823593239
B5_03_056,6802.674161198226,2825926084,10970.835407392418,1951843269,3680.3177025877676,874082815
B5_03_057,7081.1773612736,2947674619,11381.96006835147,2024896224,3871.283095253078,922778395
B5_03_058,7376.000792886538,3079200043,11851.485459933978,2107419293,4055.1184470232806,971780750
B5_03_059,7670.984200745717,3207399585,12265.179789090867,2185422000,4259.304763690922,1021977585
B5_03_060,8001.433404674094,3349784092,12781.507911312532,2278802264,4455.759210181437,1070981828
B5_03_061,8346.235899453864,3499660175,13339.478085523471,2374867302,4661.832138993771,1124792873
B6_03_001,2006.036656441335,803696520,2801.3300762513836,455552297,1462.6740848419663,348144223
B6_03_002,2035.6175915240474,809640434,2887.9281152338904,465741943,1454.3314697735393,343898491
B6_03_003,2035.3789029284085,818625324,2909.891258298595,471184142,1446.0267362541776,347441182
B6_03_004,2047.6669981234065,821644812,2948.2689212621503,482879277,1426.5313611959155,338765535
B6_03_005,2052.060794872936,829939572,3029.429874502225,492200560,1395.7945521947026,337739012
B6_03_006,2058.295513748191,832035087,3043.5540070109046,501839446,1379.5572197920192,330195641
B6_03_007,2031.4199538721848,820005010,3027.644006783272,494544455,1354.2912099801097,325460555
B6_03_008,1980.7991582483191,794906587,2906.537320901169,476311710,1341.8476056100747,318594877
B6_03_009,1918.7510988027525,771829142,2770.6829257941104,456977047,1326.6817586158948,314852095
B6_03_010,1885.5263476211542,754457543,2692.448422124194,444340148,1319.092786443158,310117395
B6_03_011,1809.8958674573105,730388907,2585.769434282925,429059308,1268.1048009022734,301329599
B6_03_012,1766.5168074233927,709710493,2525.5280525041667,415211965,1240.7722234159535,294498528
B6_03_013,1690.3037953311914,680783376,2414.1934184342085,397917016,1188.8437970193415,282866360
B6_03_014,1688.570133083262,677035572,2371.8558773157083,393310629,1206.6829258956823,283724943
